A¤o,Marca,Descripci¢n,Serie,Valor
,Caterpillar,Excavadora 320 C,AKH01096,"115,009.57"
,Caterpillar,Excavadora 320BLU,9KK01811,"110,563.01"
,Caterpillar,Excavadora con Martillo 322BL,7ZZ00290,"182,113.67"
,Caterpillar,Excavadora hidraulica 322BL,1YS00419,"135,887.09"
,Caterpillar,Excavadora 324DL,CAT0324DCDFP00283,"160,325.99"
,Caterpillar,Excavadora 325CL,CAT0325CTCRB00850,"118,239.44"
,Caterpillar,Excavadora 325L,8NK00258,"165,551.25"
,Caterpillar,Excavadora 330CL,CAT0330CPCAP00312,"135,337.50"
,Caterpillar,Excavadora 330CL,CAT0330CCDKY01598,"120,036.15"
,Caterpillar,Excavadora 330CL,CAT0330CAKDD01018,"135,337.50"
,Caterpillar,Excavadora 330CL,CAT0330CTKDD01026,"136,063.98"
,Caterpillar,Excavadora 330C,CAT0330CKGAG00463,"150,375.00"
,Caterpillar,Excavadora 330BL,CAT330BC3YR01548,"104,241.64"
,Caterpillar,Excavadora 330BL,6DR03508,"139,080.00"
,Caterpillar,Excavadora 330BL,3YR00401,"144,936.00"
,Caterpillar,Excavadora 345BL,CAT0345BJAGS01920,"110,576.92"
,Caterpillar,Excavadora 345BL,4SS00455,"149,933.71"
,Caterpillar,Excavadora 330ECL,CAT0330CPDKY03113,"150,000.00"
,JHON DEERE,Excavadora 690ELC,DW690EL545294,"129,352.10"
,Caterpillar,Retroexcavadora 416C,4ZN16501,"56,500.00"
,Caterpillar,Retroexcavadora 420D,CAT0420DLFDP26520,"55,087.50"
,Caterpillar,Retroexcavadora 420D,CAT0420DPFDP26511,"55,087.50"
,Caterpillar,Retroexcavadora 426,7BC00787,"29,370.83"
,Case,Retroexcavadora 580M,JJG0306531,"55,025.66"
,Case,Retroexcavadora 580M,JJG0308420,"67,391.75"
,Case,Retroexcavadora 580M,JJG0306618,"55,231.75"
,Case,Retroexcavadora 580M,N6C400819,"55,231.75"
,Case,Retroexcavadora 580M,N6C400957,"65,166.67"
